Name,Sex,Age,Height,Weight,Team,Sport,Medals Won
Hamad Ali Mohamed A Al-Attiyah,M,21,193,89,Qatar,Equestrianism,0
Hamdan Iqbal Ahmed Bayusuf,M,21,182,64,Kenya,Swimming,0
Hamdy Moustafa El-Said Abdelwahab,M,23,171,96,Egypt,Wrestling,0
Hamed Said Al-Khatri,M,31,173,68,Oman,Shooting,0
Hamish Byron Bond,M,30,189,89,New Zealand,Rowing,1
Hamish Carson,M,27,181,66,New Zealand,Athletics,0
Hamza Ali,M,37,186,130,Bosnia and Herzegovina,Athletics,0
Hamza Bouras,M,28,170,73,Algeria,Sailing,0
Hanna Blomstrand,F,19,173,72,Sweden,Handball,0
Hannah Buckling,F,24,177,75,Australia,Water Polo,0
Hannah Cross,F,19,169,57,Australia,Synchronized Swimming,0
Hannah Darling,F,20,174,72,Canada,Rugby Sevens,1
Hannes Aigner,M,27,183,75,Germany,Canoeing,0
Haris Bandey,M,17,167,79,Pakistan,Swimming,0
Haris Belkebla,M,22,178,70,Algeria,Football,0
Harold Correa,M,28,190,81,France,Athletics,0
Harrison Bryce Jordan Barnes,M,24,203,102,United States,Basketball,1
Harry Leslie Aikines-Aryeetey,M,27,180,87,Great Britain,Athletics,0
Hasanboy Dusmatov,M,23,156,49,Uzbekistan,Boxing,1
Hassan Amzile,M,28,183,64,France,Boxing,0
Hassan Chani,M,28,170,60,Bahrain,Athletics,0
Hassen Al-Chaktami,M,27,180,91,Tunisia,Boxing,0
Haydy Morsy Adil,F,16,168,58,Egypt,Modern Pentathlon,0
Heather Ann Arseth,F,22,170,60,Mauritius,Swimming,0
Heather Bansley,F,28,170,66,Canada-1,Beach Volleyball,0
Heba Allejji,F,19,,,Syria,Table Tennis,0
Hebert Brol Cardenas,M,36,181,80,Guatemala,Shooting,0
Hederson Alves Estefani,M,24,183,65,Brazil,Athletics,0
Heidi Diethelm Gerber,F,47,168,93,Switzerland,Shooting,1
Hela Al-Ayari,F,21,,52,Tunisia,Judo,0
Helena Casas Roige,F,28,163,63,Spain,Cycling,0
Henning Bommel,M,33,183,79,Germany,Cycling,0
Henricho Bruintjies,M,23,179,72,South Africa,Athletics,0
Henrik Christiansen,M,19,191,,Norway,Swimming,0
